"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
269364 -nan -nan -nan -nan
269365 -nan -nan -nan -nan
269366 -nan -nan -nan -nan
269367 -nan -nan -nan -nan
269368 -nan -nan -nan -nan
269369 -nan -nan -nan -nan
269370 123.500000 123.500000 171.010000 171.010000
269371 -nan -nan -nan -nan
269372 -nan -nan -nan -nan
269373 -nan -nan -nan -nan
269374 -nan -nan -nan -nan
269375 -nan -nan -nan -nan
269376 -nan -nan -nan -nan
269377 -nan -nan -nan -nan
269378 -nan -nan -nan -nan
269379 -nan -nan -nan -nan
269380 -nan -nan -nan -nan
269381 -nan -nan -nan -nan
269382 -nan -nan -nan -nan
269383 -nan -nan -nan -nan
269384 123.500000 123.500000 171.010000 171.010000
269469 -nan -nan -nan -nan
269470 -nan -nan -nan -nan
269471 -nan -nan -nan -nan
269472 -nan -nan -nan -nan
269473 -nan -nan -nan -nan
269474 -nan -nan -nan -nan
269475 -nan -nan -nan -nan
269476 -nan -nan -nan -nan
269477 -nan -nan -nan -nan
269478 -nan -nan -nan -nan
269479 -nan -nan -nan -nan
269480 -nan -nan -nan -nan
269481 -nan -nan -nan -nan
269482 123.500000 123.500000 171.010000 171.010000
269637 -nan -nan -nan -nan
269638 -nan -nan -nan -nan
269639 -nan -nan -nan -nan
269640 -nan -nan -nan -nan
269641 -nan -nan -nan -nan
269642 -nan -nan -nan -nan
269643 -nan -nan -nan -nan
269644 -nan -nan -nan -nan
269645 -nan -nan -nan -nan
269646 -nan -nan -nan -nan
269647 -nan -nan -nan -nan
269648 -nan -nan -nan -nan
